C Q/U 
Data  
Family  
Formula I*T 
Name  
           C1                       C2                       C4                       CQ1                      CQ2                      CQ4                      CU1                      CU2                      CU4                      I1                       I2                       I3                       I4                       I5                       Q1                       Q2                       Q3                       Q4                        R                       T1                       T2                       T3                       T4                       T5                       U1                       U11                      U12                      U2                       U3                       U4                       U5                       U6                       U7                       U8            
         0,05996                  0,05749                  0,00248                  0,02610                  0,02478                  0,00088                  0,43521                  0,43107                  0,35374               -1,83105e-007            -5,49316e-007            -3,35693e-007            -3,05176e-007            -6,10352e-007            -3,66211e-005            -1,09863e-004            -6,71387e-005            -6,10352e-005             5000,00000                200,00000                200,00000                200,00000                200,00000                200,00000              -1,06812e-003            -6,10352e-004               0,00244               -1,52588e-004            -7,62939e-004               0,00198               -9,15527e-004               0,00076               -9,15527e-004               0,00061         
                                                                                                                                                                                                                                       3,54004e-006             9,18579e-006             6,10352e-008             9,24683e-006                0,00008                  0,01133                  0,02939                  0,00020                  0,02959                                         3200,00000               3200,00000               3200,00000               3200,00000               3200,00000                 0,57541                  2,99408                  2,61612                  0,55771                  0,57510                  0,52917                  0,57495                  0,57465                  0,57556                  0,52933         
                                                                                                                                                                                                                                       3,50952e-006             9,18579e-006             -2,44141e-007            9,36890e-006                0,00008                  0,01193                  0,03123               -8,30078e-004               0,03185                                         3400,00000               3400,00000               3400,00000               3400,00000               3400,00000                 0,61371                  2,99408                  2,61322                  0,59616                  0,61325                  0,56732                  0,61356                  0,61478                  0,61401                  0,56717         
                                                                                                                                                                                                                                       3,50952e-006             9,21631e-006             -2,74658e-007            9,39941e-006                0,00008                  0,01263                  0,03318               -9,88770e-004               0,03384                                         3600,00000               3600,00000               3600,00000               3600,00000               3600,00000                 0,65216                  2,99408                  2,61063                  0,63461                  0,65155                  0,60547                  0,65186                  0,65323                  0,65216                  0,60516         
                                                                                                                                                                                                                                       3,47900e-006             9,24683e-006             -2,13623e-007            9,42993e-006                0,00008                  0,01322                  0,03514               -8,11768e-004               0,03583                                         3800,00000               3800,00000               3800,00000               3800,00000               3800,00000                 0,69046                  2,99408                  2,60727                  0,67307                  0,69000                  0,64377                  0,69046                  0,69153                  0,69061                  0,64346         
                                                                                                                                                                                                                                       3,20435e-006             9,21631e-006             -3,05176e-007            9,33838e-006                0,00008                  0,01282                  0,03687               -1,22070e-003               0,03735                                         4000,00000               4000,00000               4000,00000               4000,00000               4000,00000                 0,72845                  2,99408                  2,60391                  0,71243                  0,72861                  0,68253                  0,72861                  0,73013                  0,72876                  0,68207         
                                                                                                                                                                                                                                       3,29590e-006             9,36890e-006             -3,35693e-007            9,18579e-006                0,00008                  0,01384                  0,03935               -1,40991e-003               0,03858                                         4200,00000               4200,00000               4200,00000               4200,00000               4200,00000                 0,76691                  2,99393                  2,59979                  0,75043                  0,76706                  0,72021                  0,76706                  0,76874                  0,76706                  0,72113         
                                                                                                                                                                                                                                       3,29590e-006             9,46045e-006             2,44141e-007             9,33838e-006                0,00008                  0,01450                  0,04163                  0,00107                  0,04109                                         4400,00000               4400,00000               4400,00000               4400,00000               4400,00000                 0,80521                  2,99393                  2,59567                  0,78873                  0,80551                  0,75821                  0,80536                  0,80414                  0,80536                  0,75867         
                                                                                                                                                                                                                                       3,41797e-006             9,46045e-006             1,83105e-007             9,42993e-006                0,00008                  0,01572                  0,04352                  0,00084                  0,04338                                         4600,00000               4600,00000               4600,00000               4600,00000               4600,00000                 0,84412                  2,99393                  2,59277                  0,82703                  0,84381                  0,79651                  0,84366                  0,84274                  0,84381                  0,79666         
                                                                                                                                                                                                                                       3,35693e-006             9,21631e-006             3,35693e-007             9,46045e-006                0,00008                  0,01611                  0,04424                  0,00161                  0,04541                                         4800,00000               4800,00000               4800,00000               4800,00000               4800,00000                 0,88211                  2,99393                  2,59064                  0,86533                  0,88242                  0,83633                  0,88226                  0,88058                  0,88226                  0,83496         
                                                                                                                                                                                                                                       3,50952e-006             9,33838e-006             -1,22070e-007            9,61304e-006                0,00008                  0,01755                  0,04669               -6,10352e-004               0,04807                                         5000,00000               5000,00000               5000,00000               5000,00000               5000,00000                 0,92072                  2,99377                  2,58774                  0,90317                  0,92072                  0,87402                  0,92041                  0,92102                  0,92072                  0,87265         
